id,score
38,0.9865173697471619
106,0.9838190674781799
90,0.979769229888916
53,0.9779645204544067
78,0.9774405360221863
58,0.9726067781448364
122,0.9563530683517456
82,0.9307742118835449
120,0.9264528155326843
87,0.9011477828025818
5,0.8931947350502014
98,0.8840950131416321
119,0.8837999701499939
109,0.8762068152427673
140,0.8705538511276245
20,0.8671592473983765
13,0.8649436831474304
134,0.8417105674743652
71,0.8378589749336243
62,0.8315582871437073
7,0.8055864572525024
31,0.7966770529747009
64,0.7779051065444946
146,0.7702069282531738
22,0.7632853388786316
37,0.7533209323883057
130,0.751011312007904
121,0.7226093411445618
33,0.6815087795257568
101,0.6747668981552124
86,0.6568564176559448
118,0.6557571291923523
46,0.6531834602355957
144,0.6388658881187439
43,0.6343058943748474
132,0.6242938041687012
66,0.617831289768219
50,0.6110683083534241
65,0.6098224520683289
51,0.5822802782058716
88,0.567550539970398
10,0.5649396181106567
145,0.5426088571548462
3,0.5417951941490173
116,0.5391892790794373
111,0.5352046489715576
54,0.5254590511322021
15,0.5136807560920715
21,0.4963419735431671
32,0.49603086709976196
136,0.4958726465702057
52,0.4925895035266876
102,0.48429152369499207
108,0.482683002948761
73,0.47269585728645325
92,0.46850523352622986
41,0.4600798785686493
40,0.4458271563053131
95,0.4445788860321045
142,0.4375668466091156
55,0.43668127059936523
70,0.43639808893203735
147,0.41197600960731506
29,0.41179952025413513
42,0.41038843989372253
25,0.4005443751811981
80,0.3993901312351227
28,0.38201236724853516
1,0.3730109632015228
63,0.3721023201942444
72,0.3712540566921234
36,0.36161211133003235
30,0.3487112522125244
34,0.3454286754131317
11,0.32596883177757263
35,0.3243275284767151
8,0.32143908739089966
148,0.31947553157806396
2,0.3180413246154785
100,0.30973485112190247
61,0.3013870418071747
127,0.29635417461395264
26,0.2831120789051056
115,0.2828952372074127
23,0.2738074064254761
138,0.2585979998111725
128,0.25396618247032166
47,0.2374163717031479
83,0.226027250289917
117,0.2192569524049759
113,0.21122239530086517
16,0.2064627707004547
124,0.18258357048034668
14,0.17593899369239807
104,0.17295540869235992
139,0.17114317417144775
48,0.1666075438261032
18,0.15896140038967133
56,0.15511325001716614
94,0.15469397604465485
75,0.1486291140317917
91,0.14074178040027618
69,0.12984783947467804
76,0.12592998147010803
96,0.12174766510725021
68,0.11104359477758408
93,0.10845383256673813
19,0.1079031452536583
4,0.1075974851846695
45,0.10663743317127228
17,0.10263323783874512
79,0.08792353421449661
89,0.08393555879592896
84,0.0770874172449112
114,0.06930048763751984
81,0.06824099272489548
143,0.06719810515642166
6,0.06702634692192078
59,0.06662893295288086
74,0.06441227346658707
112,0.06301089376211166
44,0.06271640211343765
39,0.05133379250764847
137,0.05035017058253288
129,0.0501064695417881
135,0.04798734933137894
12,0.04753695800900459
107,0.047210704535245895
110,0.04657870903611183
67,0.04657870903611183
0,0.04657870903611183
27,0.04505974054336548
97,0.04234514385461807
105,0.04006105661392212
99,0.03879864513874054
57,0.03832384571433067
133,0.03726809844374657
9,0.03352632746100426
85,0.03342690318822861
49,0.030980682000517845
24,0.028199341148138046
131,0.02673402987420559
125,0.026189427822828293
141,0.018509460613131523
123,0.018185997381806374
60,0.016702909022569656
103,0.009046278893947601
126,0.007866239175200462
77,0.004146070685237646
